Standard Deviation of Differences: 26.652338
Mean Value of Absolute Values of Diffrences: 19.566282
Max Value of Absolute Values of Differences: 271.89612
 
  Real Values  |  Predictions  |  Differences  
   [71.09]        [89.70544]     [-18.61544] 
   [121.75]       [143.43428]    [-21.68428] 
   [100.45]       [98.49489]     [1.9551086] 
   [97.61]        [100.92599]    [-3.3159866]
   [142.52]       [244.67458]    [-102.15457]
   [210.37]       [176.0153]     [34.35469]  
   [151.39]       [169.18369]    [-17.793686]
   [124.86]       [116.896965]   [7.9630356] 
   [287.45]       [289.3265]     [-1.8764954]
   [117.92]       [96.97387]     [20.946129] 
   [60.13]        [51.195705]    [8.934296]  
   [113.87]       [98.35194]     [15.518066] 
   [293.31]       [234.42368]    [58.886322] 
   [46.73]        [51.703857]    [-4.973858] 
   [84.37]        [82.75154]     [1.6184616] 
   [138.63]       [84.96648]     [53.66353]  
   [59.24]        [82.98171]     [-23.74171] 
   [71.92]        [70.92329]     [0.99671173]
   [110.18]       [101.41683]    [8.763168]  
   [36.]          [27.576689]    [8.423311]  
   [64.09]        [57.605362]    [6.4846344] 
   [205.8]        [131.46]       [74.34]     
   [41.73]        [49.39067]     [-7.660671] 
   [53.8]         [58.871647]    [-5.0716476]
   [105.52]       [130.98642]    [-25.466423]
   [107.96]       [110.36233]    [-2.4023285]
   [67.01]        [95.43955]     [-28.42955] 
   [160.1]        [231.48557]    [-71.38556] 
   [217.22]       [212.67657]    [4.5434265] 
   [63.75]        [117.558685]   [-53.808685]
   [96.13]        [153.27057]    [-57.14057] 
   [86.16]        [91.66102]     [-5.5010147]
   [72.58]        [82.45977]     [-9.879768] 
   [74.87]        [104.252396]   [-29.382393]
   [119.57]       [105.58416]    [13.98584]  
   [142.1]        [139.9314]     [2.1686096] 
   [52.43]        [24.142702]    [28.287298] 
   [223.17]       [242.25183]    [-19.081833]
   [21.76]        [38.680668]    [-16.920668]
   [72.66]        [38.6884]      [33.971603] 
   [50.01]        [77.16438]     [-27.154385]
   [45.34]        [47.55898]     [-2.218979] 
   [240.1]        [178.95525]    [61.14476]  
   [137.12]       [135.60028]    [1.5197144] 
   [77.19]        [36.338856]    [40.851147] 
   [84.]          [121.920395]   [-37.920395]
   [31.38]        [15.067466]    [16.312534] 
   [80.25]        [69.6529]      [10.597099] 
   [127.01]       [112.66163]    [14.348373] 
   [139.61]       [143.93144]    [-4.3214417]
   [50.75]        [70.11043]     [-19.360428]
   [84.38]        [79.01984]     [5.360161]  
   [106.36]       [148.3084]     [-41.948395]
   [273.23]       [219.08997]    [54.140045] 
   [232.02]       [241.92705]    [-9.907043] 
   [125.56]       [145.64255]    [-20.08255] 
   [165.74]       [187.53749]    [-21.797485]
   [35.76]        [40.134567]    [-4.374569] 
   [65.24]        [85.32635]     [-20.08635] 
   [151.35]       [121.267586]   [30.08242]  
   [82.36]        [78.34379]     [4.0162125] 
   [46.5]         [61.487392]    [-14.987392]
   [112.5]        [128.17203]    [-15.672028]
   [119.29]       [142.63765]    [-23.347649]
   [133.31]       [156.94691]    [-23.636917]
   [66.45]        [63.27706]     [3.1729355] 
   [48.94]        [114.04229]    [-65.102295]
   [85.04]        [88.48937]     [-3.4493713]
   [84.94]        [84.28109]     [0.65891266]
   [145.13]       [198.0895]     [-52.959488]
   [241.69]       [204.16536]    [37.524643] 
